"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3070000","307000001120220005","20220415","","01","영업/정상","0000","정상","","","","","02-927-1282","","","서울특별시 성북구 돈암동 609-1 한신한진아파트","서울특별시 성북구 성북로4길 52 417동 1102호 (돈암동 한신한진아파트)","02831","온누리성모약국","20220415135428","I","2021-12-03 23:07:00.0","","200841.726990037","454721.505180141","","","","",""
"3150000","315000001120220009","20220414","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 마곡동 760 마곡나루역보타닉푸르지오시티","서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 102호 (마곡동)","07788","마곡아임약국","20220414114048","I","2021-12-03 23:06:00.0","","184650","451667","","","","",""
"3090000","309000001120220007","20220414","","01","영업/정상","0000","정상","","","","","","","","서울특별시 도봉구 창동 484-33 1층","서울특별시 도봉구 우이천로4길 42 1층 (창동)","01481","라파온누리약국","20220414135531","I","2021-12-03 23:06:00.0","","203610.851405285","459075.856049098","","","","",""
"3010000","301000001120220002","20220413","","01","영업/정상","0000","정상","","","","","02-6958-7022","","","서울특별시 중구 남대문로3가 30-7","서울특별시 중구 남대문로 20(남대문로3가)","04529","남대문약국","20220413091440","I","2021-12-03 23:05:00.0","","197977.904480598","450946.759938068","","","","",""
"3240000","324000001120220007","20220408","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강동구 천호동 121-29 가온타워 B2 1호","서울특별시 강동구 성안로 187 가온타워 지하2층 1호 (천호동)","05332","노랑약국","20220408105334","I","2021-12-03 23:00:00.0","","211977.764172224","448634.819928956","","","","",""
"3170000","317000001120220004","20220517","","01","영업/정상","0000","정상","","","","","","","","서울특별시 금천구 가산동 60-15 삼성리더스타워","서울특별시 금천구 벚꽃로 286 삼성리더스타워 1층 (가산동)","08511","리더스약국","20220517093544","I","2021-12-04 23:09:00.0","","189685.516219475","442026.468974479","","","","",""
"3110000","311000001120220006","20220517","","01","영업/정상","0000","정상","","","","","02-389-7239","","","서울특별시 은평구 진관동 74 휴먼프라자 I 107호","서울특별시 은평구 진관2로 19 휴먼프라자 I 107호 (진관동)","03306","어진온누리약국","20220517164951","I","2021-12-04 23:09:00.0","","192831.901570697","459170.418887077","","","","",""
"3160000","316000001120220006","20220517","","01","영업/정상","0000","정상","","","","","02-2625-2601","","","서울특별시 구로구 고척동 253-11 두발로빌딩 1층","서울특별시 구로구 고척로 144 두발로빌딩 1층 (고척동)","08235","수태평양약국","20220517164516","I","2021-12-04 23:09:00.0","","186666.582498006","444503.991525664","","","","",""
"3210000","321000001120220006","20220517","","01","영업/정상","0000","정상","","","","","","","","서울특별시 서초구 서초동 1692-4 장안빌딩","서울특별시 서초구 서초대로 307 장안빌딩 (서초동)","06606","건강과 행복이 열리는 약국","20220517171626","I","2021-12-04 23:09:00.0","","201267.726324912","443579.007559631","","","","",""
"3020000","302000001120190002","20190703","","03","폐업","0002","폐업","20220517","","","","070-4234-8203","","","서울특별시 용산구 이태원동 44-17 1층","서울특별시 용산구 녹사평대로32길 47 1층 (이태원동)","04390","분홍약국","20220517163812","U","2021-12-04 23:09:00.0","","199117.051682138","447830.318352912","","","","",""
"3100000","310000001120220007","20221017","","01","영업/정상","0000","정상","","","","","","","","서울특별시 노원구 중계동 366-6 중계그랜드프라자","서울특별시 노원구 한글비석로 264 중계그랜드프라자 3층 312호 (중계동)","01720","푸른약국","20221017111636","I","2021-10-30 23:09:00.0","","206740.036180531","460958.164371423","","","","",""
"3130000","313000001120200012","20201116","","01","영업/정상","0000","정상","","","","","02-323-6051","0","","서울특별시 마포구 신공덕동 171 마포케이씨씨웰츠타워","서울특별시 마포구 백범로 202 1층 102호 (신공덕동 마포케이씨씨웰츠타워)","04196","늘푸른약국","20220627150724","U","2021-12-05 22:09:00.0","","195729.493881417","448955.17308073","","","","",""
"3130000","313000001120200010","20201020","","01","영업/정상","0000","정상","","","","","02-337-7959","0","","서울특별시 마포구 서교동 494","서울특별시 마포구 양화로 72 효성해링턴타워 118호 (서교동)","04044","셀약국","20220627150642","U","2021-12-05 22:09:00.0","","192555.052010668","449861.955802692","","","","",""
"3130000","313000001120200009","20201014","","01","영업/정상","0000","정상","","","","","02-6398-0094","0","","서울특별시 마포구 상암동 1596 상암DMC푸르지오시티 S-City","서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티 S-City 오피스텔동 111호 (상암동)","03924","안녕약국","20220627150608","U","2021-12-05 22:09:00.0","","190144.892942247","453302.04990022","","","","",""
"3130000","313000001120200008","20200706","","01","영업/정상","0000","정상","","","","","02-333-3806","0","","서울특별시 마포구 상수동 310-1","서울특별시 마포구 독막로 85 1층 (상수동)","04049","일출약국","20220627150521","U","2021-12-05 22:09:00.0","","193103.496986712","449521.715347028","","","","",""
"3130000","313000001120200007","20200616","","01","영업/정상","0000","정상","","","","","02-6407-3031","0","","서울특별시 마포구 합정동 364-28","서울특별시 마포구 독막로 14 1층 (합정동)","04072","합정365약국","20220627150436","U","2021-12-05 22:09:00.0","","192412.385130041","449581.593120684","","","","",""
"3130000","313000001120190011","20190819","","03","폐업","0002","폐업","20220627","","","","02-414-6809","","","서울특별시 마포구 상암동 1623 한샘상암","서울특별시 마포구 성암로 179 한샘상암 1층 (상암동)","03929","소담약국","20220627101756","U","2021-12-05 22:09:00.0","","190976.720194946","452652.686277024","","","","",""
"3130000","313000001120190005","20190425","","03","폐업","0002","폐업","20220627","","","","02-322-8344","0","","서울특별시 마포구 서교동 358-27","서울특별시 마포구 홍익로 1 1층 (서교동)","04040","태평양약국","20220627111507","U","2021-12-05 22:09:00.0","","193213.616831647","450066.406857948","","","","",""
"3130000","313000001120190001","20190223","","01","영업/정상","0000","정상","","","","","02-713-2060","0","","서울특별시 마포구 대흥동 265-1","서울특별시 마포구 백범로 98 1층 (대흥동)","04149","대흥365약국","20220627154520","U","2021-12-05 22:09:00.0","","194824.475030784","449482.026713479","","","","",""
"3130000","313000001120170008","20170915","","03","폐업","0002","폐업","20220627","","","","02-3291-5879","0","","서울특별시 마포구 상암동 336-2 월드프라자 103호","서울특별시 마포구 상암산로1길 73 월드프라자 103호 (상암동)","03905","메디팜상암약국","20220627095225","U","2021-12-05 22:09:00.0","","189683.41359800000","453407.67377000000","","","","",""
"3130000","313000001120150004","20150626","","03","폐업","0002","폐업","20220627","","","","02-713-6567","0","","서울특별시 마포구 대흥동 272-2","서울특별시 마포구 백범로 90 (대흥동 동보빌딩1층)","04110","비타민약국","20220627094548","U","2021-12-05 22:09:00.0","","194762.280224696","449509.860624425","","","","",""
"3130000","313000001120130009","20130812","","01","영업/정상","0000","정상","","","","","02-326-1678","0","","서울특별시 마포구 동교동 165-8 LG팰리스빌딩","서울특별시 마포구 양화로 156 LG팰리스빌딩 116호 (동교동)","04050","파마트엘지약국","20220627150235","U","2021-12-05 22:09:00.0","","193166.430144679","450425.852790862","","","","",""
"3130000","313000001120130008","20130809","","01","영업/정상","0000","정상","","","","","02-3141-0258","0","","서울특별시 마포구 서교동 392-20 체리스빌딩","서울특별시 마포구 양화로 73 체리스빌딩 101호 (서교동)","04037","참마음온누리약국","20220627150154","U","2021-12-05 22:09:00.0","","192510.219478049","449906.551472075","","","","",""
"3030000","303000001120180001","20180205","","03","폐업","0002","폐업","20220712","","","","","0","","서울특별시 성동구 하왕십리동 1070 센트라스","서울특별시 성동구 왕십리로 410 k동 106호 (하왕십리동 센트라스)","04701","153온누리약국","20220712173933","U","2021-12-06 23:04:00.0","","202372.912023599","451536.680876573","","","","",""
"3190000","319000001120220005","20220714","","01","영업/정상","0000","정상","","","","","","","","서울특별시 동작구 사당동 252-17 서림빌딩","서울특별시 동작구 사당로 215 서림빌딩 108호 (사당동)","07004","밝은미소약국","20220714144307","I","2021-12-06 23:06:00.0","","197486.50162645","442493.781452129","","","","",""
"3010000","301000001120220005","20220518","","01","영업/정상","0000","정상","","","","","02-6324-7575","","","서울특별시 중구 수하동 67 미래에셋 센터원(Mirae Asset CENTER1)","서울특별시 중구 을지로5길 26 미래에셋 센터원(Mirae Asset CENTER1) 지하1층 (수하동)","04539","꽃피는온누리약국","20220518094925","I","2021-12-04 22:00:00.0","","198620.934275413","451681.95803574","","","","",""
"3100000","310000001120220003","20220518","","01","영업/정상","0000","정상","","","","","02-936-9301","","","서울특별시 노원구 상계동 449-8 한보빌딩","서울특별시 노원구 한글비석로 459 한보빌딩 1층 (상계동)","01679","시온약국","20220518091724","I","2021-12-04 22:00:00.0","","205836.109112019","462403.453671472","","","","",""
"3070000","307000001120190002","20190402","","03","폐업","0002","폐업","20220518","","","","07044024565","","","서울특별시 성북구 길음동 1286 길음뉴타운","서울특별시 성북구 길음로9길 50 101호 (길음동 길음뉴타운)","02721","길음시장약국","20220518174128","U","2021-12-04 22:00:00.0","","201648.204071174","455717.855906877","","","","",""
"3050000","305000001120220004","20220519","","01","영업/정상","0000","정상","","","","","","","","서울특별시 동대문구 장안동 369-2","서울특별시 동대문구 장한로 129 102호호 (장안동)","02624","그린약국","20220519180414","I","2021-12-04 22:01:00.0","","206199.354351212","452193.577797234","","","","",""
"3150000","315000001120220014","20220519","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 화곡동 898-1 화곡 심포니 타워","서울특별시 강서구 강서로 27 화곡 심포니 타워 1층 106호 (화곡동)","07778","우리팜약국","20220519094216","I","2021-12-04 22:01:00.0","","186424.391650186","447580.544751681","","","","",""
"3050000","305000001120190003","20190827","","03","폐업","0002","폐업","20200630","","","","02-2246-9885","0","","서울특별시 동대문구 장안동 369-2","서울특별시 동대문구 장한로 129 1층 (장안동)","02624","그린약국","20220519180934","U","2021-12-04 22:01:00.0","","206199.354351212","452193.577797234","","","","",""
"3200000","320000001120220005","20220523","","01","영업/정상","0000","정상","","","","","855-6965","","","서울특별시 관악구 신림동 607-73","서울특별시 관악구 난곡로 220 1층 (신림동)","08849","세이브동물약국","20220523095837","I","2021-12-04 22:05:00.0","","192674.885947244","441352.743493574","","","","",""
"3200000","320000001120220006","20220523","","01","영업/정상","0000","정상","","","","","","","","서울특별시 관악구 신림동 681-3","서울특별시 관악구 난곡로 107-1 1층 (신림동)","08859","남강약국","20220523100055","I","2021-12-04 22:05:00.0","","192788.086901412","440332.15446073","","","","",""
"3170000","317000001120220005","20220523","","01","영업/정상","0000","정상","","","","","","","","서울특별시 금천구 시흥동 1031 엠메디컬타워","서울특별시 금천구 시흥대로73길 67 엠메디컬타워 1층 116호 (시흥동)","08613","금천중앙약국","20220523103707","I","2021-12-04 22:05:00.0","","","","","","","",""
"3110000","311000001120220007","20220523","","01","영업/정상","0000","정상","","","","","023039715","","","서울특별시 은평구 증산동 176-7","서울특별시 은평구 증산로3길 8(증산동)","03500","고일약국","20220523173245","I","2021-12-04 22:05:00.0","","191591.950321645","453216.805052604","","","","",""
"3230000","323000001120200020","20201026","","03","폐업","0002","폐업","20220520","","","","","","","서울특별시 송파구 거여동 566","서울특별시 송파구 양산로 40 102호 (거여동)","05773","다올약국","20220523085154","U","2021-12-04 22:05:00.0","","212699.322906961","443365.370620906","","","","",""
"3210000","321000001120180006","20180809","","03","폐업","0002","폐업","20220523","","","","588-5951","0","","서울특별시 서초구 서초동 1583-10 서초아트자이상가 201-1호","서울특별시 서초구 반포대로 58 2층 201-12호 (서초동 서초아트자이)","06652","서초 아트 약국","20220523130830","U","2021-12-04 22:05:00.0","","200953.239716326","442613.337649681","","","","",""
"3200000","320000001120140002","20140502","","03","폐업","0002","폐업","20220523","","","","02-853-6965","","","서울특별시 관악구 신림동 607-73","서울특별시 관악구 난곡로 220 1층 (신림동 세이브마트)","08849","세이브약국","20220523161435","U","2021-12-04 22:05:00.0","","192674.885947244","441352.743493574","","","","",""
"3150000","315000001120220015","20220524","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 방화동 193-11 불해빌딩","서울특별시 강서구 방화대로34길 92 불해빌딩 (방화동)","07595","푸른온누리약국","20220524100030","I","2021-12-04 22:06:00.0","","184161.316363142","452077.906637611","","","","",""
"3090000","309000001120220008","20220524","","01","영업/정상","0000","정상","","","","","","","","서울특별시 도봉구 방학동 271-4 신동아상가","서울특별시 도봉구 시루봉로 105 신동아상가 1층 111호 (방학동)","01362","은은약국","20220524161635","I","2021-12-04 22:06:00.0","","202309.499730866","461892.789359839","","","","",""
"3240000","324000001120220011","20220524","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강동구 암사동 414-18 강동롯데캐슬퍼스트아파트 115호","서울특별시 강동구 고덕로 133 강동롯데캐슬퍼스트아파트 115호 (암사동)","05236","산들약국","20220524092828","I","2021-12-04 22:06:00.0","","212334.9584644","450346.790651613","","","","",""
"3080000","308000001120200010","20201029","","03","폐업","0002","폐업","20220524","","","","02-992-8789","","","서울특별시 강북구 수유동 256-3 JK빌딩 104호","서울특별시 강북구 한천로 1118 JK빌딩 104호 (수유동)","01048","참약국","20220524151734","U","2021-12-04 22:06:00.0","","201713.050201227","460292.656640149","","","","",""
"3230000","323000001120150009","20151117","","03","폐업","0002","폐업","20220531","","","","02-423-3016","","","","서울특별시 송파구 올림픽로35길 112 101102호 (신천동 장미아파트 비상가)","05504","월드중앙약국","20220524170740","U","2021-12-04 22:06:00.0","","208707.089897534","446299.352775446","","","","",""
"3030000","303000001120220005","20220525","","01","영업/정상","0000","정상","","","","","070-7798-1281","","","서울특별시 성동구 하왕십리동 1070 센트라스 L동 128-1호","서울특별시 성동구 왕십리로 410 L동 128-1호 (하왕십리동 센트라스)","04701","1층이화약국","20220525163314","I","2021-12-04 22:07:00.0","","202372.912023599","451536.680876573","","","","",""
"3000000","300000001120220010","20221018","","01","영업/정상","0000","정상","","","","","02-720-1777","","","서울특별시 종로구 종로1가 24 르메이에르종로타운1","서울특별시 종로구 종로 19 르메이에르종로타운1 2층 206-1호 (종로1가)","03157","송이약국","20221018090028","I","2021-10-30 22:00:00.0","","198150.300374121","452019.212642931","","","","",""
"3190000","319000001120130010","20130916","","03","폐업","0002","폐업","20220525","","","","02-584-3828","0","","서울특별시 동작구 사당동 1037-17","서울특별시 동작구 동작대로7길 84 (사당동)","07016","온누리세종약국","20220525144659","U","2021-12-04 22:07:00.0","","197988.258004406","441724.168994744","","","","",""
"3040000","304000001120220004","20220526","","01","영업/정상","0000","정상","","","","","","","","서울특별시 광진구 구의동 55-22 누리빌딩 1층","서울특별시 광진구 자양로 281 누리빌딩 1층 (구의동)","04954","아차산약국","20220526170340","I","2021-12-04 22:08:00.0","","208013.281240358","449873.038603781","","","","",""
"3210000","321000001120220007","20220527","","01","영업/정상","0000","정상","","","","","02-597-3514","0","","서울특별시 서초구 서초동 1532-7 서울빌딩","서울특별시 서초구 효령로 229 서울빌딩 1층 (서초동)","06671","다나약국","20220527101722","I","2021-12-04 22:09:00.0","","200724.572700127","442410.750140602","","","","",""
"3240000","324000001120220012","20220527","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강동구 명일동 312-58 105호","서울특별시 강동구 양재대로 1637 105호 (명일동)","05257","태양약국","20220527150609","I","2021-12-04 22:09:00.0","","212639.467698142","449956.327858881","","","","",""
"3210000","321000001120220008","20220527","","01","영업/정상","0000","정상","","","","","02-6241-2298","","","서울특별시 서초구 서초동 1335","서울특별시 서초구 효령로 403 418호 (서초동)","06630","서초구름약국","20220527133329","I","2021-12-04 22:09:00.0","","202245.377899369","442987.986999742","","","","",""
"3150000","315000001120210014","20210609","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 화곡동 1097-9 투웨니퍼스트 강서마곡","서울특별시 강서구 화곡로 329 투웨니퍼스트 강서마곡 1층 (화곡동)","07649","유약국","20220527154230","U","2021-12-04 22:09:00.0","","186722.122757462","450140.803920959","","","","",""
"3180000","318000001120220007","20220628","","01","영업/정상","0000","정상","","","","","","","","서울특별시 영등포구 양평동5가 76 양평동한신아파트","서울특별시 영등포구 양평로24길 9 109동 7호 (양평동5가 양평동한신아파트)","07204","온누리평안약국","20220628145558","I","2021-12-05 21:00:00.0","","190394.571819262","448656.726986041","","","","",""
"3170000","317000001120190006","20191205","","01","영업/정상","0000","정상","","","","","","","","서울특별시 금천구 시흥동 841-55","서울특별시 금천구 금하로 651(시흥동)","08627","동백약국","20220628102612","U","2021-12-05 21:00:00.0","","191376.965876563","439105.872924684","","","","",""
"3240000","324000001120220014","20220629","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강동구 강일동 76-2 아이메디컬","서울특별시 강동구 아리수로93나길 38 아이메디컬 107108호 (강일동)","05415","강일 동물약국","20220629112616","I","2021-12-07 00:01:00.0","","215303.913311463","452189.755118282","","","","",""
"3050000","305000001120220006","20220629","","01","영업/정상","0000","정상","","","","","","","","서울특별시 동대문구 장안동 107-5","서울특별시 동대문구 한천로 195 1층 (장안동)","02534","바하약국","20220629173159","I","2021-12-07 00:01:00.0","","205942.817333333","452898.964666666","","","","",""
"3120000","312000001120220001","20220120","","03","폐업","0002","폐업","20220629","","","","","","","서울특별시 서대문구 영천동 323 동성건물","서울특별시 서대문구 통일로 189-1 동성건물 1층 (영천동)","03734","부활약국","20220629153541","U","2021-12-07 00:01:00.0","","196560.38321316","452005.173255846","","","","",""
"3130000","313000001120220001","20220408","","01","영업/정상","0000","정상","","","","","02-337-6209","0","","서울특별시 마포구 합정동 472 마포 한강 푸르지오","서울특별시 마포구 월드컵로1길 14 206호 (합정동 마포 한강 푸르지오)","04024","파란바다약국","20220413091258","U","2021-12-03 23:05:00.0","","192171.23539752","449751.486972783","","","","",""
"3130000","313000001120200014","20201209","","03","폐업","0002","폐업","20220629","","","","02-332-3508","0","","서울특별시 마포구 동교동 165-8 LG팰리스빌딩","서울특별시 마포구 양화로 156 LG팰리스빌딩 306동 3층 1호 (동교동)","04050","이화바이오약국","20220629110156","U","2021-12-07 00:01:00.0","","193166.430144679","450425.852790862","","","","",""
"3150000","315000001120220018","20220630","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 염창동 274-18 한울밸리움","서울특별시 강서구 공항대로 531 1층 104호 (염창동 한울밸리움)","07562","수태평양약국","20220630101355","I","2021-12-07 00:02:00.0","","188041.009007078","449882.937393009","","","","",""
"3220000","322000001120220013","20220630","","01","영업/정상","0000","정상","","","","","02-516-8999","0","","서울특별시 강남구 신사동 595-6 레아트문클리닉 타워 103호","서울특별시 강남구 논현로168길 40 레아트문클리닉 타워 103호 (신사동)","06024","미소온누리약국","20220630114725","I","2021-12-07 00:02:00.0","","202691.183508103","446770.341572984","","","","",""
"3220000","322000001120220008","20220407","","01","영업/정상","0000","정상","","","","","02-557-5888","0","","서울특별시 강남구 대치동 629-1 대치 메디칼센터","서울특별시 강남구 남부순환로397길 57 대치 메디칼센터 1층 1호 (대치동)","06280","우리온누리약국","20220407140913","I","2021-12-04 00:09:00.0","","205090.67025038","443432.311287388","","","","",""
"3110000","311000001120220017","20221018","","01","영업/정상","0000","정상","","","","","02-383-8869","","","서울특별시 은평구 역촌동 44-29 청암빌딩","서울특별시 은평구 연서로 12 청암빌딩 1층 (역촌동)","03409","큰솔약국","20221018100238","I","2021-10-30 22:00:00.0","","192549.184624609","455314.708066234","","","","",""
"3130000","313000001120220006","20220701","","01","영업/정상","0000","정상","","","","","","","","서울특별시 마포구 도화동 563 마포아크로타워","서울특별시 마포구 마포대로 68 210-2호 (도화동 마포아크로타워)","04168","아크로약국","20220701150824","I","2021-12-07 00:03:00.0","","195422.175350477","448787.973520895","","","","",""
"3060000","306000001120220012","20220702","","01","영업/정상","0000","정상","","","","","","","","서울특별시 중랑구 망우동 0","서울특별시 중랑구 양원역로10길 17 B동 102호 (망우동)","02057","양원1번약국","20220702100841","I","2021-12-07 00:05:00.0","","","","","","","",""
"3220000","322000001120220014","20220704","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강남구 논현동 1 삼주빌딩 1층 일부호","서울특별시 강남구 강남대로 606 삼주빌딩 1층 일부호 (논현동)","06038","하리약국","20220704170303","I","2021-12-07 00:06:00.0","","201715.095225261","445959.466321945","","","","",""
"3080000","308000001120130007","20130618","","03","폐업","0002","폐업","20220704","","","","02-988-2552","0","","서울특별시 강북구 수유동 95-7 이테크밸리 101호","서울특별시 강북구 도봉로77길 6 (수유동 이테크밸리 101)","01113","세화약국","20220704135221","U","2021-12-07 00:06:00.0","","201942.872328818","459046.125539538","","","","",""
"3070000","307000001120220009","20220705","","01","영업/정상","0000","정상","","","","","027626300","","","서울특별시 성북구 동소문동1가 42 정화빌딩","서울특별시 성북구 동소문로3길 4 정화빌딩 1층 (동소문동1가)","02833","뉴나바론약국","20220705091355","I","2021-12-07 00:07:00.0","","200515.797553846","454087.498445366","","","","",""
"3130000","313000001120220007","20220705","","01","영업/정상","0000","정상","","","","","","","","서울특별시 마포구 아현동 706-3","서울특별시 마포구 손기정로 54(아현동)","04199","신일약국","20220705173034","I","2021-12-07 00:07:00.0","","196610.14280262","450421.861110571","","","","",""
"3150000","315000001120220019","20220706","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 마곡동 800-5","서울특별시 강서구 공항대로 228 1층 110호 (마곡동)","07806","마곡온약국","20220706090641","I","2021-12-07 00:08:00.0","","","","","","","",""
"3180000","318000001120220003","20220405","","01","영업/정상","0000","정상","","","","","","","","서울특별시 영등포구 당산동6가 224 누가빌딩","서울특별시 영등포구 양평로 32 누가빌딩 1층 (당산동6가)","07223","당산열린약국","20220405110017","I","2021-12-04 00:07:00.0","","191349.222267929","447939.351087719","","","","",""
