"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3050000","305000003720220006","20220414","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","0222460010","0","","서울특별시 동대문구 장안동 ***-**","서울특별시 동대문구 장한로**길 **(장안동)","02624","정말귀엽개","20220414105008","I","2021-12-04 22:07:00.0","","206003.438141358","451999.257496897","","","","",""
"3160000","316000003720220009","20220414","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","서울특별시 구로구 항동 ***-* 항동중흥에스클래스베르데카운티 상가*동 ***호","서울특별시 구로구 연동로 *** 상가*동 ***호 (항동 항동중흥에스클래스베르데카운티)","08362","뽀비앤브라운","20220414151907","I","2021-12-04 22:07:00.0","","184086.012717196","442101.176790868","","","","",""
"3030000","303000003720220002","20220413","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","서울특별시 성동구 송정동 **-** 삼성빌라 ***호","서울특별시 성동구 송정*길 * ***호 (송정동 삼성빌라)","04801","pet372도5584","20220413133146","I","2021-12-04 22:07:00.0","","205645.625970517","449668.404683421","","","","",""
"3140000","314000004820220010","20220517","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 양천구 신정동 ***-** 성은빌딩*층","서울특별시 양천구 은행정로 ** 성은빌딩 *층 (신정동)","07938","리본반려견 유치원","20220517173002","U","2021-12-07 00:02:00.0","","187449.666990704","447331.560077766","","","","",""
"3220000","322000005020220018","20220517","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 강남구 역삼동 ***-** 베르사이유","서울특별시 강남구 테헤란로**길 ** ***호 (역삼동 베르사이유)","06223","pet60누3202","20220517095145","I","2021-12-07 00:02:00.0","","203435.562660498","444135.113842412","","","","",""
"3090000","309000004920180017","20180816","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","029918225","0","","서울특별시 도봉구 쌍문동 ***-*","서울특별시 도봉구 도봉로***길 **(쌍문동)","01446","애견놀이터","20220517095632","U","2021-12-07 00:02:00.0","","202478.179106748","460631.967994439","","","","",""
"3220000","322000004920180054","20180810","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","02-545-1211","0","","서울특별시 강남구 신사동 ***-** *층","서울특별시 강남구 압구정로**길 ** *층 (신사동)","06029","퍼플퍼피","20220526141330","U","2021-12-07 00:02:00.0","","202099.080495114","446858.478083082","","","","",""
"3220000","322000004920180050","20180806","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 강남구 역삼동 ***-** 강남제일병원 별관 지하*층","서울특별시 강남구 논현로 *** 강남제일병원 별관 지하*층 (역삼동)","06136","두젠틀(DOGENTLE)","20220526143214","U","2021-12-07 00:02:00.0","","203120.03","444665.66","","","","",""
"3220000","322000004920180043","20180711","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","02-556-2212","0","","서울특별시 강남구 역삼동 ***-** ***호","서울특별시 강남구 언주로**길 ** ***호 (역삼동)","06222","강남강아지","20220526141425","U","2021-12-07 00:02:00.0","","203721.836960193","444127.21917103","","","","",""
"3110000","311000005020220019","20220905","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 응암동 ***-* 백련산 힐스테이트*차 ***동 ****호","서울특별시 은평구 백련산로*길 ** ***동 ****호 (응암동 백련산 힐스테이트*차)","03477","pet263다9787","20220905143643","I","2021-12-09 00:07:00.0","","193238.672896542","454137.273837927","","","","",""
"3160000","316000005020180042","20181030","","03","폐업","0002","폐업","20220905","","","","","0","","서울특별시 구로구 고척동 **-**","서울특별시 구로구 중앙로**가길 ** (고척동)","08218","PET TAXI(TP)","20220905094844","U","2021-12-09 00:07:00.0","","187827.042056546","444760.668410156","","","","",""
"3160000","316000005020210017","20211105","","03","폐업","0002","폐업","20220906","","","","1666-3789","0","","서울특별시 구로구 구로동 ***-* 제이앤케이디지털타워 ****호","서울특별시 구로구 디지털로**길 *** 제이앤케이디지털타워 ****호 (구로동)","08390","그랫","20220906105743","U","2021-12-09 00:08:00.0","","190822.851419439","442253.132895893","","","","",""
"3160000","316000004920180026","20180917","","03","폐업","0002","폐업","20220907","","","","0220607512","0","","서울특별시 구로구 천왕동 ***-* 골드프라자","서울특별시 구로구 천왕로 *** 골드프라자 *층 ***호 (천왕동)","08365","안정택동물병원","20220907092718","U","2021-12-09 00:09:00.0","","185721.91202600000","442967.06766400000","","","","",""
"3140000","314000003720190026","20190910","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","서울특별시 양천구 신월동 ***-*","서울특별시 양천구 오목로 **-* (신월동)","08031","너.애.개","20200111153239","I","2021-12-04 22:07:00.0","","185760.901347512","446575.319746705","","","","",""
"3140000","314000003720190025","20190910","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","서울특별시 양천구 신월동 ***-*","서울특별시 양천구 오목로 **-* (신월동)","08031","너.애.개","20200111153151","I","2021-12-04 22:07:00.0","","185760.901347512","446575.319746705","","","","",""
"3030000","303000003720190019","20190909","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","서울특별시 성동구 마장동 *** 금호어울림아파트","서울특별시 성동구 마조로 ** 상가동 *층 (마장동 금호어울림아파트)","04759","고양아 안녕?","20210224193127","U","2021-12-04 22:07:00.0","","203597.7587591","451160.268443273","","","","",""
"3160000","316000005020220015","20220913","","01","영업/정상","0000","정상","","","","","02-1666-3789","0","","서울특별시 구로구 구로동 ***-* 제이앤케이디지털타워 ****호","서울특별시 구로구 디지털로**길 *** 제이앤케이디지털타워 ****호 (구로동)","08390","그랫(2912)","20220913113957","I","2021-12-08 23:05:00.0","","190822.851419439","442253.132895893","","","","",""
"3160000","316000005020220017","20220913","","01","영업/정상","0000","정상","","","","","02-1666-3789","0","","서울특별시 구로구 구로동 ***-* 제이앤케이디지털타워 ****호","서울특별시 구로구 디지털로**길 *** 제이앤케이디지털타워 ****호 (구로동)","08390","그랫(2910)","20220913133503","I","2021-12-08 23:05:00.0","","190822.851419439","442253.132895893","","","","",""
"3160000","316000005020220016","20220913","","01","영업/정상","0000","정상","","","","","02-1666-3789","0","","서울특별시 구로구 구로동 ***-* 제이앤케이디지털타워 ****호","서울특별시 구로구 디지털로**길 *** 제이앤케이디지털타워 ****호 (구로동)","08390","그랫(2909)","20220913133210","I","2021-12-08 23:05:00.0","","190822.851419439","442253.132895893","","","","",""
"3160000","316000004520200010","20201125","","04","취소/말소/만료/정지/중지","0004","말소","20220914","","","","","0","","서울특별시 구로구 개봉동 ***-**","서울특별시 구로구 개봉로**나길 ** *층 (개봉동)","08338","로이애견","20220914164039","U","2021-12-08 23:06:00.0","","186964.215840306","443454.989944845","","","","",""
"3110000","311000004920220013","20220919","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 갈현동 ***-**","서울특별시 은평구 갈현로 *** *층 (갈현동)","03332","꽃단장하시개","20220919092309","I","2021-12-08 22:01:00.0","","192441.146366445","457290.445569543","","","","",""
"3100000","310000005020220010","20220919","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 중계동 ***-* 중계*단지주공아파트","서울특별시 노원구 중계로 ***(중계동 중계*단지주공아파트)","01713","pet121더8994","20220919144518","I","2021-12-08 22:01:00.0","","206630.714120071","461164.120761815","","","","",""
"3180000","318000004820210001","20210217","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","02-832-3771","0","","서울특별시 영등포구 신길동 ****-*","서울특별시 영등포구 여의대방로**길 * *층 (신길동)","07433","제이제이스타일","20220518160051","U","2021-12-07 00:02:00.0","","192612.649880495","443990.105148365","","","","",""
"3000000","300000005020200001","20200616","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 종로구 명륜*가 **-*","서울특별시 종로구 성균관로*길 **-* (명륜*가)","03073","공병호펫택시","20220519135047","U","2021-12-07 00:02:00.0","","199454.262419139","453687.425364889","","","","",""
"3000000","300000004920220001","20220519","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","023917502","0","","서울특별시 종로구 홍지동 ***-*","서울특별시 종로구 자하문로 ***(홍지동)","03021","올리브동물병원","20220519130402","I","2021-12-07 00:02:00.0","","196308.215602977","455218.757468473","","","","",""
"3210000","321000005020220009","20220519","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 서초구 서초동 ****-** 서초쌍용플래티넘 ***호","서울특별시 서초구 서초중앙로 ** ***호 (서초동 서초쌍용플래티넘)","06720","PET292주 1770","20220519100900","I","2021-12-07 00:02:00.0","","201463.690299789","442429.147525901","","","","",""
"3130000","313000005020220009","20220518","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 마포구 중동 *** 동원월드타운아파트","서울특별시 마포구 성암로*길 ** ***동 ****호 (중동 동원월드타운아파트)","03944","pet01오5003","20220518115214","I","2021-12-07 00:02:00.0","","191958.19211813","451964.327446908","","","","",""
"3150000","315000004520220002","20220518","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 강서구 마곡동 ***-* 마곡역센트럴푸르지오시티 상가동 ***호","서울특별시 강서구 마곡중앙*로 ** 마곡역센트럴푸르지오시티 상가동 ***호 (마곡동)","07801","포더독스 강아지 강서 마곡점","20220530104147","U","2021-12-07 00:02:00.0","","184756","450942","","","","",""
"3220000","322000004520200015","20200527","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 강남구 신사동 ***-**","서울특별시 강남구 논현로***길 *-* 제이엔와이빌딩 *층 (신사동)","06031","서울고양이분양 묘연","20220519114333","U","2021-12-07 00:02:00.0","","202336.349451022","446833.885191786","","","","",""
"3160000","316000005020220018","20220922","","01","영업/정상","0000","정상","","","","","070-4009-4110","0","","서울특별시 구로구 구로동 *** 한화비즈메트로*차 ***호","서울특별시 구로구 디지털로 *** 한화비즈메트로*차 ***호 (구로동)","08394","펫글T(114로3579)","20220922162017","I","2021-12-08 22:04:00.0","","190447.424985193","442071.447779897","","","","",""
"3110000","311000004520220001","20220922","","01","영업/정상","0000","정상","","","","","070-8287-3777","0","","서울특별시 은평구 갈현동 ***-** 영화빌딩","서울특별시 은평구 연서로**길 ** 영화빌딩 *층 ***호 (갈현동)","03331","내품안의반려견 은평점","20220922093422","I","2021-12-08 22:04:00.0","","192692.218962983","457317.456449841","","","","",""
"3160000","316000005020220020","20220922","","01","영업/정상","0000","정상","","","","","070-4009-4110","0","","서울특별시 구로구 구로동 *** 한화비즈메트로*차 ***호","서울특별시 구로구 디지털로 *** 한화비즈메트로*차 ***호 (구로동)","08394","펫글T(363가9779)","20220922162321","I","2021-12-08 22:04:00.0","","190447.424985193","442071.447779897","","","","",""
"3160000","316000005020220019","20220922","","01","영업/정상","0000","정상","","","","","070-4009-4110","0","","서울특별시 구로구 구로동 *** 한화비즈메트로*차 ***호","서울특별시 구로구 디지털로 *** 한화비즈메트로*차 ***호 (구로동)","08394","펫글T(374거3113)","20220922162204","I","2021-12-08 22:04:00.0","","190447.424985193","442071.447779897","","","","",""
"3110000","311000004920180046","20180928","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","388-3008","0","","서울특별시 은평구 신사동 **-**","서울특별시 은평구 은평로 ** (신사동)","03423","늘푸른동물병원","20220520093804","D","2021-10-30 23:03:00.0","","192071.591415703","455108.657872656","","","","",""
"3120000","312000004920220001","20220527","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","02-332-9202","0","","서울특별시 서대문구 연희동 ***-* *층 ***호","서울특별시 서대문구 연희로 *** *층 ***호 (연희동)","03724","잔다냥 연희점","20220527093810","I","2021-12-07 00:02:00.0","","193930.686297764","451751.371026466","","","","",""
"3030000","303000005020220003","20220523","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 성동구 용답동 ***-* 신창비바패밀리","서울특별시 성동구 천호대로 ***(용답동 신창비바패밀리)","04808","멍이요 펫택시(49두5207)","20220608104053","U","2021-12-07 00:02:00.0","","205527.887051222","451002.807624223","","","","",""
"3240000","324000004920220007","20220523","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 강동구 암사동 ***-* *층","서울특별시 강동구 상암로*길 ** *층 (암사동)","05242","메이드독","20220523141307","I","2021-12-07 00:02:00.0","","211069.210900883","449599.157458515","","","","",""
"3190000","319000004920190014","20191223","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","025957582","0","","서울특별시 동작구 동작동 *** 이수힐스테이트","서울특별시 동작구 동작대로**길 ** ***호***호호 (동작동 이수힐스테이트)","06993","엘'S동물병원","20220527133336","U","2021-12-07 00:02:00.0","","198161.292479758","443614.335996111","","","","",""
"3190000","319000004920180024","20181005","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","02-592-8875","0","","서울특별시 동작구 사당동 ***-** 원약국","서울특별시 동작구 사당로 *** 원약국 (사당동)","07030","원동물병원","20220527093912","U","2021-12-07 00:02:00.0","","197145.960028428","442632.999788177","","","","",""
"3190000","319000004920180021","20181004","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","02-822-3938","0","","서울특별시 동작구 상도동 ***-***","서울특별시 동작구 상도로 *** (상도동)","06952","캐나다동물병원","20220527132427","U","2021-12-07 00:02:00.0","","193953.121257589","444316.434697747","","","","",""
"3190000","319000004920180001","20180514","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 동작구 상도동 ***-* 은평전기","서울특별시 동작구 장승배기로 * (상도동)","07047","엠펫","20220520183025","U","2021-12-07 00:02:00.0","","194912.313251973","444136.251555624","","","","",""
"3000000","300000004520160004","20160824","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","","서울특별시 종로구 청계천로 *** D동 *층 **호 (창신동)","03120","미화조류","20220527100415","U","2021-12-07 00:02:00.0","","201236.543011311","451980.76162207","","","","",""
"3190000","319000004520130003","20130416","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","812-7512","0","","서울특별시 동작구 상도동 ***-* *층","서울특별시 동작구 상도로 *** *층 (상도동)","06977","상도힐링동물병원","20220527133007","U","2021-12-07 00:02:00.0","","195791.557523948","443898.917364179","","","","",""
"3110000","311000004920220014","20220927","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 대조동 ***-**","서울특별시 은평구 연서로**길 **(대조동)","03387","사랑해똥깡아지","20220927132406","I","2021-12-08 22:09:00.0","","192846.495652172","457074.410119458","","","","",""
"3160000","316000005020220006","20220411","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 구로구 개봉동 ***-** 신양지아파트 ***호","서울특별시 구로구 개봉로**바길 ** ***호 (개봉동 신양지아파트)","08338","pet 110누4292","20220927114343","U","2021-12-08 22:09:00.0","","186772.91768558","443475.306811234","","","","",""
"3110000","311000004920220015","20220929","","01","영업/정상","0000","정상","","","","","02-306-9990","0","","서울특별시 은평구 증산동 ***-** DMC센트럴자이 ***호","서울특별시 은평구 수색로 *** *층 ***호 (증산동 DMC센트럴자이)","03506","정든동물병원","20220929140449","I","2021-10-31 00:01:00.0","","191337.27325892","453194.537663327","","","","",""
"3110000","311000004820220007","20220929","","01","영업/정상","0000","정상","","","","","02-306-9990","0","","서울특별시 은평구 증산동 ***-** DMC센트럴자이 ***호","서울특별시 은평구 수색로 *** *층 ***호 (증산동 DMC센트럴자이)","03506","정든동물병원","20220929140548","I","2021-10-31 00:01:00.0","","191337.27325892","453194.537663327","","","","",""
"3100000","310000005020220007","20220624","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 노원구 공릉동 ***-* 토토하우스","서울특별시 노원구 동일로***길 **-* ***호 (공릉동 토토하우스)","01846","pet241가2495","20220624100413","D","2021-10-30 23:03:00.0","","206707.840913418","457925.747724028","","","","",""
"3100000","310000004920220005","20220623","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 노원구 상계동 ***-**","서울특별시 노원구 노원로**길 **(상계동)","01696","조이댕댕","20220623093350","D","2021-10-30 23:03:00.0","","205961.714376577","461479.630282867","","","","",""
"3100000","310000005020220005","20220510","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 노원구 상계동 **** 상계*차중앙하이츠아파트","서울특별시 노원구 노원로 ***(상계동 상계*차중앙하이츠아파트)","01703","부릉펫","20220510092714","D","2021-10-30 23:03:00.0","","205958.283359342","461400.108819563","","","","",""
"3110000","311000005020220010","20220510","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 은평구 응암동 ***-* 선주빌딩","서울특별시 은평구 응암로 *** 선주빌딩 (응암동)","03465","맨즈펫","20220510130422","D","2021-10-30 23:03:00.0","","192911.094860983","455017.903987896","","","","",""
"3160000","316000005020220011","20220509","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 구로구 구로동 *** 코오롱싸이언스밸리*차 비동 ***호","서울특별시 구로구 디지털로**길 ** 코오롱싸이언스밸리*차 비동 ***호 (구로동)","08378","pet 08어9943","20220509140631","D","2021-10-30 23:03:00.0","","191020.264430044","442460.919021593","","","","",""
"3110000","311000004920220006","20220412","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 은평구 불광동 ***-* 유니파크 ***호","서울특별시 은평구 불광로 *** 유니파크 *층 ***호 (불광동)","03354","피어나개","20220428181107","D","2021-10-30 23:03:00.0","","193973.673621564","457400.585742127","","","","",""
"3110000","311000004820220005","20220412","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 은평구 불광동 ***-* 유니파크 ***호","서울특별시 은평구 불광로 *** 유니파크 *층 ***호 (불광동)","03354","피어나개","20220428181107","D","2021-10-30 23:03:00.0","","193973.673621564","457400.585742127","","","","",""
"3110000","311000005020220004","20220321","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 은평구 녹번동 ***-**","서울특별시 은평구 서오릉로*길 ** 대신아파트 ***호 (녹번동)","03380","pet53수0985","20220428181107","D","2021-10-30 23:03:00.0","","193416.961615375","455928.212979926","","","","",""
"3160000","316000004520220005","20220315","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","02-2672-7582","0","","서울특별시 구로구 신도림동 ***-* ***호","서울특별시 구로구 신도림로 * ***호 (신도림동)","08206","구로다나은동물병원","20220428181040","D","2021-10-30 23:03:00.0","","189067.276002245","444891.605594405","","","","",""
"3100000","310000004920220002","20220307","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 노원구 중계동 ***-**","서울특별시 노원구 중계로**길 ** *층 (중계동)","01722","나나펫","20220428181115","D","2021-10-30 23:03:00.0","","207156.593255851","460994.825702674","","","","",""
"3150000","315000004820220013","20220531","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 강서구 방화동 ***-* 대희빌딩 B**호","서울특별시 강서구 개화동로**길 ** 대희빌딩 지층 **호 (방화동)","07621","Wendy’s Wonderland(웬디네 원더랜드)","20220531105804","I","2021-12-07 00:02:00.0","","183117.281621173","451398.804774616","","","","",""
"3220000","322000005020220019","20220530","","04","취소/말소/만료/정지/중지","0004","말소","20220701","","","","","0","","서울특별시 강남구 삼성동 *** 삼성동센트럴아이파크","서울특별시 강남구 삼성로 *** ***동 ****호 (삼성동 삼성동센트럴아이파크)","06094","pet16우1430","20220530095147","I","2021-12-07 00:02:00.0","","204462.842023317","445941.879147407","","","","",""
