객체id,id,비오톱유형,면적,유형분류,자연성등급,서식지기능,비오톱면적,출현빈도,비오톱위치,출현여부,평가a,평가b,개별평가,평가등급,유형평가
547225,23845,H7,831.62198,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547224,23842,H7,184.08174,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547223,23841,H7,787.41684,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547222,23839,H7,1293.2306,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547221,23623,H7,787,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547220,23622,H7,985.33894,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547219,23621,H7,672.91196,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547218,23618,H7,3044.03347,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547217,23616,H7,2636.49744,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547216,23614,H7,475.5284,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547215,23612,H7,450.61426,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547214,23610,H7,2080.29519,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547213,23608,H7,400.5934,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547212,23607,H7,968.30466,2,2,2,3,3,2,1,2,2,2,2등급,1등급
547211,23606,H7,725.43791,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547210,23604,H7,457.65162,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547209,23603,H7,64783.7872,2,2,3,2,3,1,1,2,2,2,2등급,1등급
547208,23601,H7,6526.05652,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547207,23599,H7,449.30438,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547206,23598,H7,713.88702,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547205,23596,H7,4889.43108,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547204,23595,H7,333.87348,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547203,23593,H7,1895.84424,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547202,23592,H7,7895.53607,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547201,23591,H7,615.63125,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547200,23589,H7,962.05486,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547199,23587,H7,434.26258,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547198,23585,H7,239.87535,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547197,23584,H7,364.02196,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547196,23582,H7,843.50023,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547195,23581,H7,1335.50115,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547194,23579,H7,481.10286,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547193,23200,H7,1397.41572,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547192,23197,H7,3164.67507,2,2,2,3,3,3,3,2,3,2,2등급,1등급
547191,23195,H7,2812.25546,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547190,23193,H7,23430.92804,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547189,23190,H7,7391.27701,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547188,23187,H7,831.32436,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547187,23186,H7,3611.33458,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547186,23183,H7,1408.11075,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547185,23182,H7,2309.51106,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547184,23180,H7,494.70528,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547183,23178,H7,2241.49275,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547182,23176,H7,1741.56186,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547181,24645,I1,158380.2708,2,1,3,2,3,1,1,1,2,1,1등급,3등급
547180,24644,I1,28310.93157,2,3,3,3,3,2,1,3,2,2,2등급,3등급
547179,24642,I1,3524.03014,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547178,24641,I1,4094.00836,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547177,24637,I1,1420.8166,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547176,24635,I1,68511.63558,2,3,3,2,3,2,1,3,2,2,2등급,3등급
547175,24632,I1,4828.51703,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547174,24630,I1,169309.41724,2,3,3,2,3,1,1,3,2,2,2등급,3등급
547173,24627,I1,2122.17389,2,3,3,3,3,2,1,3,2,2,2등급,3등급
547172,24623,I1,1010.61719,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547171,24621,I1,19603.13457,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547170,24618,I1,1105.90687,2,3,3,3,2,1,1,3,1,2,2등급,3등급
547169,24614,I1,4350.94718,2,3,3,3,2,1,1,3,1,2,2등급,3등급
547168,24612,I1,8971.5797,2,3,3,3,2,2,1,3,2,2,2등급,3등급
547167,24609,I1,4881.44552,2,3,3,3,2,1,1,3,1,2,2등급,3등급
547166,24606,I1,352.16251,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547165,24603,I1,3786.32796,2,3,3,3,1,2,1,3,1,2,2등급,3등급
547164,24601,I1,5252.35613,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547163,24597,I1,3789.34897,2,3,3,3,2,1,1,3,1,2,2등급,3등급
547162,24596,I1,1780.60703,2,3,3,3,2,1,1,3,1,2,2등급,3등급
547161,24594,I1,3340.7452,2,3,3,3,2,1,1,3,1,2,2등급,3등급
547160,24593,I1,2531.55941,2,3,3,3,1,2,1,3,1,2,2등급,3등급
547159,24588,I1,31585.1498,2,3,3,3,3,2,1,3,2,2,2등급,3등급
547158,24587,I1,17508.34066,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547157,24583,I1,38072.25579,2,3,3,3,1,2,1,3,1,2,2등급,3등급
547156,24425,H9,536.67018,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547155,24423,H9,902.90421,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547154,24421,H9,1235.12312,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547153,24417,H9,860.30836,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547152,24415,H9,511.90154,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547151,24413,H9,813.25987,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547150,24411,H9,419.17836,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547149,24408,H9,1206.21853,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547148,24405,H9,1001.50279,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547147,24402,H9,2440.92897,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547146,24399,H9,659.92609,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547145,24397,H9,826.03887,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547144,24395,H9,780.04028,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547143,24392,H9,2499.26302,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547142,24390,H9,486.82759,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547141,24387,H9,490.41842,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547140,24385,H9,760.31678,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547139,24381,H9,856.03013,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547138,24378,H9,325.24965,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547137,24374,H9,7447.39098,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547136,24369,H9,2806.86446,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547135,24368,H9,14390.75568,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547134,24366,H9,5832.89015,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547133,24466,H9,915.61419,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547132,24465,H9,2368.8885,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547131,24464,H9,3869.20762,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547130,24463,H9,1218.49093,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547129,24462,H9,709.5492,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547128,24461,H9,1247.67583,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547127,24460,H9,605.89603,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547126,24459,H9,1322.48631,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547125,24458,H9,1215.07594,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547124,24457,H9,788.86652,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547123,23419,H7,58746.03078,2,2,3,2,3,3,1,2,3,2,2등급,1등급
547122,23416,H7,15624.99439,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547121,23414,H7,1729.71286,2,2,2,3,3,2,1,2,2,2,2등급,1등급
547120,23411,H7,24411.27952,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547119,22866,H5,5471.40857,1,2,1,3,3,1,1,1,2,1,1등급,1등급
547118,22828,H5,43272.0993,1,2,1,3,3,1,1,1,2,1,1등급,1등급
547117,22827,H5,52706.14221,1,2,1,2,3,1,2,1,2,1,1등급,1등급
547116,22280,H4,422.02082,1,2,1,3,3,1,2,1,2,1,1등급,1등급
547115,22278,H4,1182.51325,1,2,1,3,3,2,1,1,2,1,1등급,1등급
547114,22277,H4,1591.95883,1,2,1,3,3,3,2,1,3,2,2등급,1등급
547113,24517,I1,685.55089,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547112,24515,I1,3866.6163,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547111,24511,I1,6269.06335,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547110,24509,I1,940.23907,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547109,24506,I1,1898.35467,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547108,24504,I1,4547.55195,2,3,3,3,3,2,1,3,2,2,2등급,3등급
547107,24501,I1,33472.71224,2,3,3,3,3,2,1,3,2,2,2등급,3등급
547106,24499,I1,4100.13031,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547105,24497,I1,6064.70433,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547104,24495,I1,972.05521,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547103,24493,I1,4132.66107,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547102,24491,I1,9690.16788,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547101,24489,I1,1578.68456,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547100,24487,H9,1184.24145,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547099,24484,H9,1569.03583,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547098,24480,H9,1424.69757,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547097,24478,H9,3626.06021,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547096,24476,H9,520.39803,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547095,24474,H9,2739.87397,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547094,24471,H9,1370.47181,3,0,0,0,0,0,0,0,0,30,평가제외,3등급
547093,23785,H7,1631.96521,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547092,23784,H7,5421.82759,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547091,23783,H7,2724.07192,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547090,23781,H7,6234.18271,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547089,23778,H7,1980.51038,2,2,2,3,2,3,1,2,2,2,2등급,1등급
547088,23777,H7,1610.08878,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547087,23775,H7,646.35817,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547086,23773,H7,4036.3792,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547085,23770,H7,3235.32553,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547084,23768,H7,13396.19942,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547083,23765,H7,1092.09272,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547082,23762,H7,1394.5261,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547081,23759,H7,610.49223,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547080,23756,H7,868.90218,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547079,23752,H7,12131.7726,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547078,23749,H7,6956.82691,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547077,23748,H7,1677.70514,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547076,23745,H7,55974.62566,2,2,2,2,3,3,1,2,3,2,2등급,1등급
547075,23741,H7,50839.98598,2,2,3,2,3,2,1,2,2,2,2등급,1등급
547074,23740,H7,4339.5328,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547073,23737,H7,2337.85882,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547072,23734,H7,47204.49099,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547071,22372,H4,23607.10128,1,2,2,3,3,1,1,2,2,2,2등급,1등급
547070,23577,H7,3894.40954,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547069,23576,H7,1129.13592,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547068,23575,H7,845.69279,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547067,23574,H7,3136.89702,2,2,2,3,3,3,3,2,3,2,2등급,1등급
547066,23571,H7,928.81484,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547065,23569,H7,2208.15617,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547064,23567,H7,2679.02959,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547063,23566,H7,313.452,2,2,2,3,3,1,3,2,2,2,2등급,1등급
547062,23564,H7,1432.20001,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547061,23563,H7,1267.94367,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547060,23560,H7,2636.56307,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547059,22915,H5,4140.50076,1,2,1,3,3,1,1,1,2,1,1등급,1등급
547058,22913,H5,1779.66148,1,3,2,3,2,3,1,3,2,2,2등급,1등급
547057,22911,H5,3657.67943,1,2,2,3,1,1,1,2,1,1,1등급,1등급
547056,22909,H5,3477.27047,1,3,2,3,1,1,1,3,1,2,2등급,1등급
547055,22907,H5,1462.72578,1,3,2,3,2,1,1,3,1,2,2등급,1등급
547054,22905,H5,3572.1657,1,2,2,3,1,1,1,2,1,1,1등급,1등급
547053,22904,H5,1812.89623,1,2,1,3,2,1,1,1,1,1,1등급,1등급
547052,22902,H5,12354.05793,1,3,2,3,1,1,1,3,1,2,2등급,1등급
547051,22899,H5,13614.40575,1,2,1,3,3,1,1,1,2,1,1등급,1등급
547050,22898,H5,953.89875,1,2,2,3,3,1,1,2,2,2,2등급,1등급
547049,22896,H5,2572.83934,1,2,2,3,3,1,1,2,2,2,2등급,1등급
547048,22895,H5,805.78186,1,2,2,3,2,1,1,2,1,1,1등급,1등급
547047,22383,H4,27311.62405,1,2,2,3,3,1,1,2,2,2,2등급,1등급
547046,22381,H4,68318.88339,1,2,1,2,3,1,1,1,2,1,1등급,1등급
547045,22380,H4,182422.53209,1,2,1,2,3,1,2,1,2,1,1등급,1등급
547044,22379,H4,25282.23308,1,2,1,3,3,1,1,1,2,1,1등급,1등급
547043,22376,H4,8477.9149,1,2,1,3,3,1,2,1,2,1,1등급,1등급
547042,22375,H4,27150.6405,1,2,2,3,3,1,1,2,2,2,2등급,1등급
547041,22373,H4,26734.2356,1,2,1,3,3,1,1,1,2,1,1등급,1등급
547040,24582,I1,2534.99242,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547039,24577,I1,1866.98394,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547038,24574,I1,13671.99465,2,3,3,3,2,2,1,3,2,2,2등급,3등급
547037,24573,I1,929.92865,2,3,2,3,2,1,1,3,1,2,2등급,3등급
547036,24571,I1,2116.72174,2,3,3,3,2,1,1,3,1,2,2등급,3등급
547035,24568,I1,12240.80606,2,3,3,3,3,1,1,3,2,2,2등급,3등급
547034,23849,H7,1026.41219,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547033,23847,H7,2366.46323,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547032,23844,H7,1243.92596,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547031,23843,H7,878.29034,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547030,23840,H7,9491.60591,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547029,23837,H7,13474.50303,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547028,23836,H7,4452.11665,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547027,23834,H7,1706.92643,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547026,23417,H7,4027.18005,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547025,23415,H7,767.29151,2,2,2,3,3,1,3,2,2,2,2등급,1등급
547024,23413,H7,2031.87252,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547023,23412,H7,1510.03359,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547022,23410,H7,1410.89294,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547021,23408,H7,2132.78472,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547020,23407,H7,1839,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547019,23405,H7,1153.12484,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547018,23404,H7,1449.8356,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547017,23402,H7,2070.68073,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547016,23401,H7,3347.30788,2,2,2,3,3,1,3,2,2,2,2등급,1등급
547015,23399,H7,1084.50279,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547014,23397,H7,2735.27417,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547013,23396,H7,712.16101,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547012,23394,H7,1536.83767,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547011,23393,H7,385.47124,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547010,23391,H7,1069.99602,2,2,2,3,3,2,1,2,2,2,2등급,1등급
547009,23389,H7,16417.96966,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547008,23387,H7,921.85613,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547007,23385,H7,2424.58035,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547006,23382,H7,28942.97208,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547005,23380,H7,3965.27861,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547004,23379,H7,877.28353,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547003,23377,H7,2066.07593,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547002,23375,H7,1535.81896,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547001,23373,H7,1101.50535,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547000,23371,H7,456.23796,2,2,2,3,3,1,1,2,2,2,2등급,1등급
546999,23370,H7,1207.28534,2,2,3,3,3,1,1,2,2,2,2등급,1등급
546998,23369,H7,1783.44221,2,2,3,3,3,2,1,2,2,2,2등급,1등급
546997,23367,H7,442.58899,2,2,3,3,3,1,1,2,2,2,2등급,1등급
546996,23365,H7,2724.69816,2,2,3,3,3,1,1,2,2,2,2등급,1등급
546995,23364,H7,2735.58675,2,2,3,3,3,3,1,2,3,2,2등급,1등급
546994,23362,H7,494.23868,2,2,3,3,3,1,1,2,2,2,2등급,1등급
546993,23359,H7,806.67324,2,2,3,3,3,2,1,2,2,2,2등급,1등급
546992,23356,H7,15805.80919,2,2,3,3,3,3,1,2,3,2,2등급,1등급
546991,23355,H7,1382.49895,2,2,3,3,3,3,1,2,3,2,2등급,1등급
546990,23353,H7,2314.72801,2,2,3,3,3,2,1,2,2,2,2등급,1등급
546989,22826,H5,2308.40872,1,2,2,3,3,2,1,2,2,2,2등급,1등급
546988,22824,H5,1163.32829,1,2,1,3,1,1,1,1,1,1,1등급,1등급
546987,22822,H5,1154.20035,1,2,2,3,1,1,1,2,1,1,1등급,1등급
546986,22819,H5,5385.11372,1,2,2,3,2,2,1,2,2,2,2등급,1등급
546985,22817,H5,1591.852,1,2,2,3,1,1,1,2,1,1,1등급,1등급
546984,22814,H5,12909.39133,1,2,2,3,2,1,1,2,1,1,1등급,1등급
546983,22813,H5,4473.90357,1,2,2,3,2,1,1,2,1,1,1등급,1등급
546982,22811,H5,1702.41878,1,3,1,3,3,1,1,2,2,2,2등급,1등급
546981,22809,H5,2975.17506,1,3,2,3,3,1,1,3,2,2,2등급,1등급
546980,22807,H5,3976.99562,1,3,2,3,3,1,1,3,2,2,2등급,1등급
546979,22805,H5,1306.94234,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546978,22802,H5,8321.46824,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546977,22800,H5,6423.07,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546976,22798,H5,10938.49221,1,3,2,3,3,1,1,3,2,2,2등급,1등급
546975,22796,H5,2986.7437,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546974,21865,H4,3499.43878,1,2,2,3,3,2,1,2,2,2,2등급,1등급
546973,21864,H4,2058.66352,1,2,2,3,3,2,1,2,2,2,2등급,1등급
546972,22793,H5,2065.9045,1,2,2,3,3,1,2,2,2,2,2등급,1등급
546971,22790,H5,8275.27756,1,2,1,3,2,1,1,1,1,1,1등급,1등급
546970,22787,H5,11834.86651,1,2,1,3,2,1,1,1,1,1,1등급,1등급
546969,22786,H5,2367.35482,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546968,22784,H5,5345.38774,1,3,2,3,3,1,1,3,2,2,2등급,1등급
546967,22782,H5,5027.7043,1,3,1,3,3,1,2,2,2,2,2등급,1등급
546966,22780,H5,2655.40058,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546965,22778,H5,26649.86854,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546964,22775,H5,3642.63635,1,3,2,3,1,1,1,3,1,2,2등급,1등급
546963,22773,H5,1165.38458,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546962,22771,H5,5957.94241,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546961,21896,H4,1854.36967,1,2,2,3,3,3,1,2,3,2,2등급,1등급
546960,21895,H4,782379.08843,1,2,1,1,3,1,3,1,2,1,1등급,1등급
546959,21894,H4,2848.80642,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546958,21891,H4,2761.96395,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546957,21890,H4,1516.31231,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546956,21887,H4,307.59914,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546955,21885,H4,24284.55541,1,2,2,3,3,1,2,2,2,2,2등급,1등급
546954,21880,H4,3073.84337,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546953,21878,H4,1777.89625,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546952,21877,H4,3454.41728,1,2,2,3,3,1,2,2,2,2,2등급,1등급
546951,21875,H4,5314.64222,1,2,2,3,3,2,1,2,2,2,2등급,1등급
546950,21873,H4,10717.01007,1,2,2,3,3,2,1,2,2,2,2등급,1등급
546949,21871,H4,3254.21012,1,2,2,3,3,3,1,2,3,2,2등급,1등급
546948,21869,H4,834.68869,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546947,21867,H4,3576.76834,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546946,23733,H7,22092.0022,2,2,3,3,3,2,1,2,2,2,2등급,1등급
546945,23732,H7,1419.21584,2,2,3,3,3,1,1,2,2,2,2등급,1등급
546944,22934,H5,773.77783,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546943,22932,H5,1882.60264,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546942,22930,H5,1455.01873,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546941,22927,H5,4537.45773,1,3,1,3,3,1,1,2,2,2,2등급,1등급
546940,22924,H5,953.74167,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546939,22922,H5,1336.35184,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546938,22920,H5,906.62577,1,2,2,3,3,1,1,2,2,2,2등급,1등급
546937,22918,H5,2132.39379,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546936,22916,H5,1359.5,1,3,2,3,3,1,2,3,2,2,2등급,1등급
546935,22914,H5,880.46728,1,2,2,3,2,1,1,2,1,1,1등급,1등급
546934,22912,H5,3573.49728,1,2,1,3,2,2,1,1,2,1,1등급,1등급
546933,22910,H5,1088.54843,1,2,1,3,2,1,1,1,1,1,1등급,1등급
546932,22908,H5,1967.49794,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546931,22906,H5,4239.15673,1,2,2,3,2,1,2,2,1,1,1등급,1등급
546930,22903,H5,1989.79288,1,3,2,3,2,1,1,3,1,2,2등급,1등급
546929,22901,H5,1493.63269,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546928,22900,H5,387.8231,1,2,1,3,3,1,1,1,2,1,1등급,1등급
546927,22897,H5,9621.61215,1,2,2,3,3,1,2,2,2,2,2등급,1등급
